word_count,sentence_count,locations,location_count,actions,action_count,urgency_level,is_informal,pos_tags,text,disaster_type,source
21,3,Haiti,1,help,1,medium,True,PROPN PROPN PUNCT AUX PART VERB SCONJ PART VERB PROPN CCONJ ADJ NOUN NOUN PUNCT NOUN PRON NOUN PUNCT SYM PROPN,RT @Alecforman: Dont know how to help Haiti and other hurricane victims? Heres your shot. #HurricaneMatthew,rescue_volunteering_or_donation_effort,HumAID
9,1,,0,,0,low,False,ADJ NOUN ADP PRON VERB ADP ADJ NOUN PUNCT,Canadian contributions to those affected by recent floods.,rescue_volunteering_or_donation_effort,HumAID
15,2,,0,,0,low,True,PROPN NOUN NOUN PUNCT VERB ADP DET ADJ CCONJ ADV PROPN SYM NOUN SYM NOUN,Allah khair kara. Pray for all pakistani and also kashmir #earthquake #2019pak,sympathy_and_support,HumAID
26,1,California,1,help,1,medium,False,PROPN PROPN PROPN VERB PROPN PROPN AUX VERB SYM NUM NUM PART VERB ADP NOUN NOUN ADP DET ADJ SYM NOUN ADP PRON ADJ PROPN PUNCT,Green Bay Packers quarterback Aaron Rodgers is donating $1 million to help with relief efforts from the devastating #wildfires in his native California.,rescue_volunteering_or_donation_effort,HumAID
13,1,British Virgin Islands|in British Virgin Islands,2,,0,low,False,NOUN PUNCT NUM VERB ADP NOUN ADP PROPN PROPN PROPN PUNCT NOUN VERB,"Irma: Four killed by hurricane in British Virgin Islands, officials say",injured_or_dead_people,HumAID
17,1,Ecuador,1,,0,low,True,PROPN PROPN PUNCT PROPN NOUN NOUN NOUN VERB ADP NUM SCONJ PROPN VERB NUM NUM ADP NOUN,RT @malaysiakini: Ecuador quake death toll rises to 350 as EU offers 1 million in aid,injured_or_dead_people,HumAID
28,2,Puerto Rico|in Puerto Rico,2,,0,low,True,PROPN PROPN PUNCT PROPN PROPN NOUN ADP PROPN PROPN PUNCT VERB SCONJ PROPN PROPN VERB ADV PUNCT PUNCT ADP NOUN PUNCT PROPN PROPN PROPN PROPN PUNCT PUNCT PUNCT,"RT @ERICSORENSEN: NWS Doppler radar in Puerto Rico, destroyed when Hurricane Maria came ashore. (On right: NWS Quad Cities Doppler.) :",infrastructure_and_utility_damage,HumAID
25,3,Caribbean|Irma|Cuba,3,,0,low,True,PROPN ADV VERB PRON ADJ NOUN ADP PROPN NOUN VERB ADP PRON NOUN ADV CCONJ PRON ADP DET PROPN PRON AUX VERB PUNCT PROPN PROPN,Cuba really got it last night from Irma 😭 praying for my family there and everyone in the Caribbean that was affected. 🙏🏼,sympathy_and_support,HumAID
15,1,,0,,0,low,True,SCONJ PROPN PROPN CCONJ PROPN PROPN PRON VERB DET PROPN PROPN PROPN PROPN SPACE SYM PROPN,How Camp Fremont and World War I impacted the Menlo Park Fire District  #menlopark,not_humanitarian,HumAID
27,2,,0,need,1,low,True,ADV ADJ NOUN ADP DET SYM PROPN ADP PRON NOUN NOUN CCONJ VERB ADP DET NOUN ADP PRON ADJ PROPN ADP NOUN ADP NOUN PUNCT SYM NOUN,Never enough thanks to the #CajunNavy for your volunteer spirit and coming to the aid of your fellow Americans in time of need ! #Harvey,rescue_volunteering_or_donation_effort,HumAID
20,2,Bangladesh|Nepal|India|in India,4,,0,low,True,PRON PART ADV PROPN PROPN PUNCT NOUN AUX VERB ADJ ADP NUM NOUN ADP PROPN PUNCT PROPN CCONJ PROPN PUNCT,"Its not just Hurricane Harvey. Floods have killed more than 1,000 people in India, Nepal and Bangladesh.",injured_or_dead_people,HumAID
10,1,U.S.,1,,0,low,False,PROPN PROPN VERB PROPN NOUN ADP ADJ NOUN PUNCT NOUN,"Hurricane Florence threatens U.S. coast with vicious winds, floods",caution_and_advice,HumAID
42,4,Nebraska,1,,0,low,True,PROPN VERB PART VERB NOUN ADP PRON VERB ADP VERB ADP ADJ PROPN PUNCT DET NOUN ADP NOUN AUX ADV VERB ADP PROPN PROPN PROPN PROPN PUNCT ADJ NOUN PROPN PROPN PUNCT PROPN PROPN PUNCT CCONJ NOUN PUNCT SYM ADV SYM NOUN,"Westmoor continues to collect items for those affected by flooding in eastern Nebraska. This load of supplies was generously donated by Platte Valley Dental Group! Amazing people= Dr. Luehrs, Dr. Foote, and staff! #flossdaily #community",rescue_volunteering_or_donation_effort,HumAID
29,3,,0,call,1,low,False,SCONJ AUX PRON ADV VERB SCONJ NOUN ADV PUNCT AUX DET NOUN ADV ADP VERB DET NOUN ADP PRON PRON AUX VERB ADP PROPN PUNCT VERB ADP PROPN PUNCT,How do you even call that TD live? Is this game all about lifting the spirits of those who were displaced during Irma? Cheating for UF.,displaced_people_and_evacuations,HumAID
49,4,Nebraska,1,need|help|send,3,medium,True,DET NOUN VERB ADV ADP DET ADJ SYM NOUN ADP SYM PROPN AUX ADV ADJ PUNCT ADV SCONJ DET NOUN AUX VERB ADJ NOUN AUX ADV ADV VERB PRON AUX VERB ADV PUNCT NOUN AUX VERB DET NOUN NOUN ADP PRON NOUN ADP NOUN PUNCT VERB NOUN ADP PUNCT,The devastation left behind by the recent #flooding in #Nebraska is almost unimaginable. Now that the waters are receding many families are just now seeing whats left behind. OB is helping these disaster victims in their time of need. Send help at:,rescue_volunteering_or_donation_effort,HumAID
28,5,,0,,0,low,True,ADP DET NOUN PUNCT ADV ADJ NOUN VERB PUNCT ADJ NOUN PUNCT DET DET NOUN AUX AUX VERB ADV ADV PUNCT NOUN NOUN AUX AUX ADV VERB PUNCT,Inside the eye. Only half way done. Unimaginable horror. All this debris will get blown around again. Weekend structures could be further damaged.,infrastructure_and_utility_damage,HumAID
24,2,in Amitrice still standig,1,,0,low,True,PROPN PROPN PUNCT SYM PROPN PROPN NOUN ADP PROPN ADV VERB PUNCT CCONJ ADV VERB PUNCT NOUN VERB SCONJ AUX PROPN VERB DET NOUN,"RT @RiegertBernd: #ItalyEarthquake Church tower in Amitrice still standig, but badly damaged. Woman ask why is God doing that @dwnews",infrastructure_and_utility_damage,HumAID
34,2,Puerto Rico,1,,0,medium,True,SYM PROPN SYM PROPN VERB ADV ADP PROPN PROPN ADJ NOUN PUNCT ADV ADV ADV PUNCT PRON NOUN AUX VERB ADJ PART VERB DET NOUN NOUN ADP DET NOUN ADP PROPN SYM PROPN PUNCT,"#MDFR #FLTF1 arrived back from Puerto Rico last night. Now back home, our team is getting ready to provide any disaster assistance as a result of Hurricane #Dorian.",rescue_volunteering_or_donation_effort,HumAID
26,1,,0,,0,medium,True,ADP DET NOUN ADP AUX ADJ AUX ADJ CCONJ AUX ADJ PUNCT DET NOUN VERB CCONJ ADV ADJ NOUN PUNCT VERB ADV VERB ADJ SYM NOUN,"At the risk of being repetitive Be kind and be patient - the aftershocks continue and now bad weather, flooding also affecting many #EQNZ",sympathy_and_support,HumAID
11,1,Puerto Rico|in Puerto Rico,2,,0,low,False,PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN ADP PROPN PROPN,"Hurricane Marias Humanitarian Crisis, Death Toll Grow in Puerto Rico",injured_or_dead_people,HumAID
39,3,Nebraska|in Nebraska,2,,0,medium,True,DET PROPN VERB DET NOUN ADP NOUN NOUN VERB ADP PROPN PUNCT DET ADJ NOUN ADP NOUN VERB ADP NOUN PUNCT CCONJ PRON VERB PRON NOUN NOUN AUX VERB PRON AUX VERB DET ADJ NOUN ADP SYM NOUN PUNCT,The USDA expects a drop in soybean acres planted in Nebraska. A huge amount of grain remains in storage. And who knows what impact flooding will have it could have a significant impact on #plant19:,other_relevant_information,HumAID
17,2,in SW Florida|Florida|SW,3,,0,low,True,SYM PROPN NOUN NOUN VERB ADP NOUN NOUN NOUN ADP PROPN PROPN PUNCT SYM PROPN PROPN PUNCT,#BLP morning watch doing after storm damage assessments in SW Florida. #hurricaneirma2017🌀 @,infrastructure_and_utility_damage,HumAID
52,2,in Mozambique,1,,0,low,True,PRON NOUN CCONJ PROPN PUNCT NOUN VERB ADP ADP DET NUM NUM NOUN PRON AUX VERB ADP DET SYM PROPN ADP PROPN PROPN NUM ADP DET ADJ ADJ NOUN ADP NOUN PART VERB PROPN PROPN NUM NOUN AUX ADV VERB ADV PUNCT VERB PRON VERB NOUN CCONJ VERB ADP NOUN SYM NOUN,"Our heart &amp; prayers goes out to the 1.8 million people who got affected by the #CycloneIdai in Mozambique ἟2἟F one of the worst tropical cyclones on record to affect Africa Ὁ4 One hand can never clap alone , let us join hands and reach out ὤF #PrayForMozambique",sympathy_and_support,HumAID
11,1,Irma,1,,0,low,True,PROPN VERB SYM NUM NUM ADP ADJ NOUN ADP PROPN NOUN,FedEx delivers $11 million in medical supplies to Irma victims,rescue_volunteering_or_donation_effort,HumAID
30,2,East Tn|South Carolina,2,help,1,medium,True,PROPN ADP ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PART VERB ADP PROPN PROPN PART VERB ADP NOUN NOUN PUNCT SYM PROPN PROPN NOUN NOUN SYM NOUN,Group of great volunteers from East Tn and Bristol Va. Home Depot’s headed to South Carolina to help with recovery efforts! #Florence ⁦@THD_HXT⁩ ⁦@wbir⁩ ⁦@kyshea11⁩ #valuewheel,rescue_volunteering_or_donation_effort,HumAID
26,2,Mexico City,1,,0,low,False,PROPN PROPN PUNCT DET ADJ PROPN PROPN PROPN NOUN AUX VERB PROPN CCONJ PROPN PUNCT VERB PRON NOUN PART VERB NOUN ADP NOUN NOUN PUNCT PROPN,RT @katelinthicum: A favorite Mexico City taco joint is donating tacos &amp; using its trucks to transport donations to earthquake victims. htt,rescue_volunteering_or_donation_effort,HumAID
27,1,the Florida Keys,1,,0,low,True,VERB PROPN PART NOUN ADP DET PROPN PROPN PUNCT PROPN PROPN PUNCT ADV SPACE SYM NOUN NOUN NOUN SYM NOUN NOUN NOUN SYM VERB SYM NOUN SYM NOUN,See Irma’s impact on the Florida Keys – CNN Video – Allso  #trendy #news #allsorce #trends #trending #blog #blogs,other_relevant_information,HumAID
21,1,,0,,0,low,False,PRON AUX ADJ ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN ADP VERB NOUN ADP SYM PROPN NOUN PUNCT,We are amazed by the incredible support we have received from the community in collecting donations for #HurricaneHarvey relief.,rescue_volunteering_or_donation_effort,HumAID
27,1,,0,,0,low,False,SCONJ VERB PRON VERB ADV PRON PART VERB ADP PART VERB PUNCT PROPN PROPN PUNCT NOUN PUNCT VERB PROPN PROPN PROPN PROPN PROPN PROPN PUNCT DET NOUN,"Besides implying they have only themselves to blame for not raking: Trumps Sickly, Self-Serving California Fire Propaganda Video Callously Forgets - the Victims",other_relevant_information,HumAID
25,2,,0,,0,low,True,NOUN PUNCT SYM PROPN PROPN DET PROPN SYM PROPN ADP PROPN NOUN ADP DET PROPN PROPN PUNCT PROPN NOUN VERB ADP PRON PROPN NOUN PUNCT,BULLETIN: #DORIAN BECOMES THE STRONGEST #HURRICANE IN MODERN RECORDS FOR THE NW BAHAMAS. CATASTROPHIC CONDITIONS OCCURRING IN THE ABACOS ISLANDS!,caution_and_advice,HumAID
29,3,Iowa|Nebraska,2,,0,low,True,DET PROPN PROPN VERB ADV NUM NOUN ADP NOUN ADP PROPN CCONJ PROPN ADP NOUN NOUN PUNCT ADV PUNCT NUM NOUN ADP PROPN PUNCT ADJ NOUN PUNCT PROPN PUNCT,"The Coors Co. donated almost 50,000 cans of water to Nebraska and Iowa for flood relief. Basically, 2100 cases of Coors. Major kudos, tho.",rescue_volunteering_or_donation_effort,HumAID
17,2,,0,emergency,1,medium,False,PROPN PROPN PUNCT DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN AUX VERB PUNCT SYM NOUN,RT @highweiss: The @redcrosscanada Finnish Red Cross @PunainenRisti Emergency Field Hospital has arrived. #cycloneidai,rescue_volunteering_or_donation_effort,HumAID
56,6,,0,help|donate,2,medium,True,PROPN PROPN VERB PRON NOUN CCONJ PRON NOUN NOUN PUNCT NOUN PRON VERB ADP DET NOUN AUX PART VERB DET DET NOUN PUNCT PRON AUX VERB VERB PART VERB CCONJ PRON VERB PROPN PUNCT INTJ VERB PRON PUNCT CCONJ NOUN VERB ADP DET PROPN PROPN PUNCT PRON AUX PART DET ADJ NOUN ADP NOUN NOUN PUNCT,Hurricane Florence wrecked my hometown and my familys towns. Stuff you see on the news cant tell all the stories. You might wanna donate to help and thats AWESOME. Please do that. But DONT DONATE TO THE RED CROSS. They are NOT an efficient source fo disaster relief.,rescue_volunteering_or_donation_effort,HumAID
34,3,Nebraska|in Scottsbluff|Scottsbluff,3,,0,low,True,VERB PRON VERB DET ADJ NOUN PUNCT VERB PRON NOUN ADP PROPN NOUN ADP PROPN PUNCT PRON VERB ADP DET PROPN PROPN PUNCT NOUN AUX VERB ADP DET PROPN PROPN PROPN PROPN PROPN PUNCT,Think you have the best chili? Test your talents on May 25th in Scottsbluff! All proceeds from the Chili Cook-off will go towards the Nebraska Cattlemen Disaster Relief Fund.,rescue_volunteering_or_donation_effort,HumAID
33,2,in Abacos|Bahamas,2,,0,low,True,SYM PROPN NOUN PUNCT PROPN AUX VERB PROPN ADP PROPN PUNCT SCONJ PROPN VERB NOUN ADP NUM NOUN CCONJ VERB ADP NUM NOUN PUNCT ADJ NOUN ADJ ADP NOUN ADP DET PROPN PUNCT,"#Dorian Update: Hurricane has made Landfall in Abacos, with Max sustained winds at 185mph and gusts near 220mph! Catastrophic damage possible for parts of the Bahamas!",infrastructure_and_utility_damage,HumAID
13,2,Indianapolis,1,,0,low,False,PROPN VERB PRON PROPN NUM VERB ADP PROPN PUNCT AUX PART VERB PUNCT,@Avalanche See you January 6 traveling from Indianapolis! Cant wait!,other_relevant_information,HumAID
15,1,Zimbabwe|in Manicaland and across Zimbabwe|Manicaland,3,assist,1,low,True,VERB PRON VERB NOUN PART VERB NOUN NOUN ADP PROPN CCONJ ADP ADJ SYM NOUN,Let us mobilize resources to assist flood victims in Manicaland and across Zimbabwe @nango_eastern @WCOZIMBABWE,rescue_volunteering_or_donation_effort,HumAID
24,2,,0,,0,low,True,NUM PROPN NOUN ADP PRON VERB DET ADJ NOUN ADP PROPN PUNCT PROPN AUX VERB NOUN NOUN NOUN PRON PRON AUX VERB ADP PUNCT,ICYMI Good news for everyone fleeing the catastrophic destruction of Florence! Trump has built ICE detention centers that you can shelter in.,not_humanitarian,HumAID
10,1,Fort McMurray|in Fort McMurray Monday to survey wildfire damage,2,,0,low,False,PROPN ADP PROPN PROPN PROPN PART VERB NOUN NOUN PUNCT,Notley in Fort McMurray Monday to survey wildfire damage.,infrastructure_and_utility_damage,HumAID
26,1,,0,help,1,medium,False,PRON AUX ADV ADJ SCONJ NOUN AUX VERB ADP PROPN ADJ NOUN SCONJ PROPN AUX PART VERB PART VERB PRON ADP DET ADJ NOUN NOUN PUNCT,I am so disgusted that people are feeding into Trumps racist lie that PR doesnt want to help themselves with this fake driver strike.,not_humanitarian,HumAID
17,1,,0,,0,low,True,DET NOUN AUX VERB NOUN ADP PRON PUNCT NOUN VERB NOUN ADP SYM PROPN PUNCT NOUN NOUN,"This storm is playing games with us: @DrewGriffinCNN gives updates on #Irma, storm damage",caution_and_advice,HumAID
27,1,,0,,0,low,True,NOUN NOUN NOUN VERB ADP NUM PUNCT NOUN NOUN ADP ADJ NOUN PUNCT PROPN SYM PUNCT SYM NOUN SYM PROPN SYM PROPN SYM PROPN PROPN SPACE ADP PROPN,"Quake death toll rises to 37, relief activities in full swing: DC #APPNews #Earthquake #EarthquakeinPakistan #Mirpur #AJK @ndmapk  via APP",injured_or_dead_people,HumAID
15,1,,0,,0,low,False,NOUN VERB ADP PRON SYM PROPN SYM NOUN PUNCT VERB DET ADJ SYM NOUN ADP,Silver lining to my #hurricaneirma #evacuation: discovering the outstanding #beer from,displaced_people_and_evacuations,HumAID
21,1,,0,donate,1,medium,True,INTJ VERB PRON PRON AUX PART VERB ADJ SYM PROPN NOUN CCONJ PROPN PUNCT NOUN VERB ADP SYM PROPN ADP PROPN,Please donate what you can to support local #BVI families &amp; communities affected by #Irma at @virginunite,sympathy_and_support,HumAID
45,2,USA,1,help,1,medium,True,AUX PART VERB DET NOUN DET NOUN DET PROPN AUX ADV ADP DET NOUN NOUN ADP PRON ADJ CCONJ NOUN NOUN PUNCT DET NOUN AUX ADV ADJ SCONJ SCONJ PRON AUX VERB PROPN ADV PRON AUX VERB DET ADJ PROPN PART VERB VERB PRON PUNCT,dont forget the military an guard an FEMA are there in a support role for your local and state government. this dorian is so large that if it did hit FL directly it will take the entire USA to help fix it.,rescue_volunteering_or_donation_effort,HumAID
41,2,,0,please help|help,2,medium,True,NOUN AUX VERB PUNCT NOUN ADV VERB PART AUX VERB PUNCT ADJ ADP NUM PUNCT NUM ADP NOUN NOUN PUNCT DET VERB NOUN ADP NUM NUM PROPN ADV ADV PUNCT INTJ VERB PRON PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN,"Hundreds have died, thousands still waiting to get rescued, More than 300, 000 in relief camps, an estimated loss of 1.5 Billion Rupees so far. Please help us ☹️☹️☹️ #keralafloods",injured_or_dead_people,HumAID
13,1,in Goodland|Bonita Springs|Goodland|Irma,4,,0,low,True,ADJ NOUN ADP NOUN NOUN ADP PROPN PUNCT PROPN PROPN PUNCT PROPN NOUN,"Aerial photos of Irma damage in Goodland, Lehigh Acres, Bonita Springs",infrastructure_and_utility_damage,HumAID
26,1,Mexico,1,,0,low,True,PROPN PROPN PUNCT PRON NOUN AUX ADP DET NOUN ADP SYM PROPN PUNCT ADV ADP PRON PRON AUX VERB VERB NOUN ADP DET ADJ SYM PROPN,"RT @IPUparliament: Our thoughts are with the people of #Mexico, especially with those who have lost loved ones in the devastating #Mexicoea",sympathy_and_support,HumAID
52,2,Zimbabwe,1,,0,low,True,DET SYM PROPN NOUN NOUN DET NOUN PRON DET NOUN VERB ADP SYM PROPN PUNCT SCONJ PRON AUX VERB SCONJ PRON VERB SYM PROPN PUNCT DET ADJ NOUN ADP NOUN VERB ADP NOUN ADP NOUN CCONJ NOUN PRON AUX ADV ADV ADJ ADP PRON PRON VERB ADP DET NOUN ADP SYM PROPN,"The #CycloneIdaiZW hashtag chronicles the havoc that the cyclone wrecked in #Zimbabwe. Although it had weakened when it hit #Zimbabwe, the countrys lack of preparedness resulted in loss of life and damages that were just as bad as those that occurred in some areas in #Mozambique",infrastructure_and_utility_damage,HumAID
23,2,,0,,0,low,False,PROPN PROPN PUNCT PROPN NOUN SYM NUM PUNCT NOUN PUNCT NOUN VERB ADP AUX VERB ADP NOUN PUNCT SYM NOUN SYM NOUN SPACE PUNCT,"RT @mniype: Hero principal #2: Boys, parents reunited after being separated in evacuation. #ymmfire #yeg  .",displaced_people_and_evacuations,HumAID
12,2,New Zealand,1,,0,low,True,DET PROPN PROPN DET PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN,"THESE PICS SHOW THE DAMAGE - Earthquake Hanmer Springs, New Zealand",infrastructure_and_utility_damage,HumAID
37,3,,0,,0,low,True,PRON VERB SCONJ PRON VERB ADJ ADP SYM PROPN PUNCT PRON VERB NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT CCONJ ADP DET NOUN VERB PRON ADP DET NOUN PUNCT AUX ADJ ADV ADV PUNCT X VERB,"I feel like Im prepared for #HurricaneDorian. I have food, water, charcoal, candles, and alcohol.all the essentials ὠEἰ0 Anyone in the path, be safe out there. #HurricaneDorian2019",sympathy_and_support,HumAID
22,1,Haiti|in Haiti,2,,0,low,True,PROPN PROPN VERB NUM PROPN ADP PROPN PUNCT PROPN PROPN PROPN PUNCT PRON VERB DET ADJ AUX ADV PART VERB SPACE SYM NOUN,"Hurricane Matthew Leaves 10 Dead in Haiti, Cholera Surge Feared: Some say the worst is yet to co  #topstories",injured_or_dead_people,HumAID
24,1,California,1,rescue,1,low,True,SYM PROPN NOUN SYM NOUN NOUN VERB NOUN ADV ADP NOUN PUNCT ADP ADJ NUM SYM ADJ PUNCT PROPN NUM ADP NUM NOUN PROPN,#California wildfire #rescue crews increase efforts ahead of rain; at least 77 #dead - Nov 18 @ 11:39 PM ET,injured_or_dead_people,HumAID
