text,disaster_type,location_patterns,action_patterns,dep_patterns,has_location,has_action
"Address to which relief materials are to be sent : District Collector, Collectorate, Kalpetta, Wayanad 673122, Kerala Phone: 04936-204151, 9745166864, 9746239313 #KeralaWaters #Flood #ReliefMaterials",rescue_volunteering_or_donation_effort,LOC_NOUN,,NER_LOC:Kalpetta,True,False
The death toll of Cyclone Idai is now at 96. MTSRIP #cycloneIdai #chimanimani,injured_or_dead_people,,URGENCY_ADVERB,PREP(of)+POBJ(Idai),False,True
RT @USRealityCheck: Island Destroyed: All Power Out as Maria Crushes Puerto Rico  #USRC,infrastructure_and_utility_damage,,,,False,False
Its going to get worse: Official fear many more deaths in California wildfires - GMA -  via @GMA,injured_or_dead_people,PREP+PROPN,,ROOT_VERB:fear|PREP(in)+POBJ(GMA)|NER_LOC:California|PREP(via)+POBJ(@GMA),True,False
Landslides are happening in hilly areas..People please be cautious..Please avoid travelling unless it is very urgent.. #KeralaFloods,caution_and_advice,PREP+PROPN,DISTRESS_SIGNAL,ROOT_VERB:happening|PREP(in)+POBJ(areas)|ROOT_VERB:avoid,True,True
Texas officials say at least eight dead as Hurricane Harvey flooding continues  #alaska,injured_or_dead_people,PREP+PROPN,,NER_LOC:Texas|ROOT_VERB:say,True,False
"To All Those peoples who barks that #Rajini sir gave only 15lakhs to #KeralaFloods. Please note it ! During the Time of Chennai Floods, the Veteran #Superstar Cancelled his birthday Celebrations and donated Rupees #10crores towards relief. Remember that ! @rajinikanth",rescue_volunteering_or_donation_effort,PREP+PROPN,,PREP(To)+POBJ(peoples)|ROOT_VERB:gave|PREP(to)+POBJ(KeralaFloods)|ROOT_VERB:note|PREP(During)+POBJ(Time),True,False
@realDonaldTrump I bet youre trying to figure out how you can profit $$$ from this disaster. You scum. Youre Hurricane Harvey flood water scum.,not_humanitarian,PREP+PROPN,,ROOT_VERB:bet|PREP(from)+POBJ(disaster)|ROOT_VERB:re,True,False
Update: Perdido inspections continue and have not revealed any major damage. #Harvey,other_relevant_information,,,ROOT_VERB:continue,False,False
"High risk of fires in Attica, Evia, Chios, Lesvos #Greece #Greecefires",caution_and_advice,PREP+PROPN,,PREP(of)+POBJ(fires)|PREP(in)+POBJ(Attica)|NER_LOC:Attica|NER_LOC:Evia,True,False
Please pray for all the people in harms way.,sympathy_and_support,PREP+PROPN,,ROOT_VERB:pray|PREP(for)+POBJ(people)|PREP(in)+POBJ(harms),True,False
#politics #media #news  Hurricane Maria cause massive destruction in Puerto Rico - Al Jazeera English,infrastructure_and_utility_damage,PREP+PROPN,,ROOT_VERB:cause|PREP(in)+POBJ(Rico)|NER_LOC:Puerto|NER_LOC:Rico|NER_LOC:-,True,False
"@CNN Heres an idea Bring in cruise ships to Puerto Rico and load residents on. Food, electricity, water, etc. #HurricaneMaria",other_relevant_information,PREP+PROPN,,PREP(to)+POBJ(Rico)|NER_LOC:Puerto|NER_LOC:Rico,True,False
An early look at Hurricane Harvey damage and how storm developed -,infrastructure_and_utility_damage,PREP+PROPN,,PREP(at)+POBJ(damage)|NER_LOC:Hurricane|NER_LOC:Harvey,True,False
"I was given the opportunity by @NebraskaCoach to share some thoughts on the culture, mission, values and goals in our @KHS_BoysSoccer program and how thats helped lead to on-field success. Page 12-13 if youre curious!",not_humanitarian,PREP+PROPN,,ROOT_VERB:given|PREP(by)+POBJ(@NebraskaCoach)|PREP(on)+POBJ(culture)|PREP(in)+POBJ(program)|PREP(to)+POBJ(success),True,False
"On the agenda: distributing supplies, helping move people to safety, assisting hospitals with backup power @nycoem",rescue_volunteering_or_donation_effort,,ACTION_VERB,PREP(On)+POBJ(agenda)|ROOT_VERB:move|PREP(to)+POBJ(safety)|PREP(with)+POBJ(power),False,True
What a tragedy and yet tRump &amp; Pence do nothing to help Americans. tRump &amp; Pence need to sit aside their racism and help,sympathy_and_support,,ACTION_VERB,ROOT_VERB:do|ROOT_VERB:need,False,True
"On St. Martin, an official said 95% of the island was destroyed by Hurricane Irma",infrastructure_and_utility_damage,,,PREP(On)+POBJ(Martin)|NER_LOC:St.|NER_LOC:Martin|ROOT_VERB:said|PREP(of)+POBJ(island),False,False
Happy #Onam Our thoughts &amp; Prayers are with #KeralaFloods victims too.,sympathy_and_support,,,,False,False
Brothers and Sisters; Please Pray for Florida against Hurricane Dorian!! @WhitenackGail @Justice4allCQ @FlashQuora @DianeBohallGray @JesusIsWarning @MorpheusSeeks @CarolDreiling @uifan01 @TBeansprout,sympathy_and_support,,,ROOT_VERB:Pray|NER_LOC:Florida|PREP(against)+POBJ(Dorian),False,False
Those who require dinner tonight at anywhere in Cochin please contact the below number They can arrange food for 1000 people Contact Person : Firoz 7012703529 #KeralaFloods #Cochin,rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,NER_LOC:Cochin|ROOT_VERB:contact|PREP(for)+POBJ(people),True,True
Dr. Jonmenjoy Biswas checks w/his family during #HurricaneHarvey flooding during the night. #ThankYouVAEmergencyRoomStaff #HoustonStrong,sympathy_and_support,,,ROOT_VERB:Biswas|PREP(during)+POBJ(flooding)|PREP(during)+POBJ(night),False,False
"Just like in Katrina, Mexico sending food and help and aid for the Americans in Houston! #mexicosendsthierbest #HurricaneHarvey",rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,PREP(in)+POBJ(Katrina)|NER_LOC:Katrina|NER_LOC:Mexico|PREP(for)+POBJ(Americans)|PREP(in)+POBJ(Houston),True,True
Kearneyite Judy Witte named an outstanding volunteer by the Nebraska Hospice and Palliative,rescue_volunteering_or_donation_effort,,,ROOT_VERB:named,False,False
Our student-athletes are here setting up the shelter for all of the first responders that are staying on campus to take care of them! #LynnCares #FloridaStrong #HurricaneDorian @Lynn_Knights @LynnUniversity,rescue_volunteering_or_donation_effort,,,ROOT_VERB:setting|PREP(for)+POBJ(all)|PREP(on)+POBJ(campus)|PREP(of)+POBJ(them),False,False
"Thousands of @ArtofLiving Volunteers across d country reaching out to d affected areas to provide immediate material &amp; trauma relief to d victims.Your contributions can help us to reach out to d victims with clean water,Good items, hygiene/shelter kits #KeralaFlood #Donate4kerala",rescue_volunteering_or_donation_effort,,ACTION_VERB,PREP(across)+POBJ(country)|PREP(to)+POBJ(victims)|ROOT_VERB:help|PREP(to)+POBJ(victims)|PREP(with)+POBJ(water),False,True
#StandWithKerala | Donations from different states for Kerala flood :- Andhra - 5 Cr Delhi - 10 Cr Karnataka - 10 Cr Odisha - 5 Cr Punjab - 10 Cr Pondicherry - 2 Cr Tamil Nadu - 10 Cr Telengana - 25 Cr LIVE UPDATES HERE -,rescue_volunteering_or_donation_effort,PREP+PROPN,,PREP(from)+POBJ(states)|PREP(for)+POBJ(flood)|NER_LOC:Kerala|ROOT_VERB:UPDATES,True,False
RT @azamsahmed: I cant bear this! The cries of the families who lost 30 schoolchildren to the earthquake in Mexico by @Paulina_VV :,injured_or_dead_people,PREP+PROPN,,ROOT_VERB:bear|PREP(of)+POBJ(families)|PREP(to)+POBJ(earthquake)|PREP(in)+POBJ(Mexico)|NER_LOC:Mexico,True,False
3/3 Tks @billmckibben Barely heard about it in #AUS. Too busy mistreating refugees from these areas to worry #CycloneMora #climatechange,not_humanitarian,PREP+PROPN,,ROOT_VERB:heard|PREP(about)+POBJ(it)|PREP(in)+POBJ(AUS)|PREP(from)+POBJ(areas),True,False
Bless Kashmir. Prayers and good thoughts after the #earthquake Pic via @head_of_toys,sympathy_and_support,,,NER_LOC:Kashmir|PREP(after)+POBJ(Pic)|PREP(via)+POBJ(@head_of_toys),False,False
"As painful images of the nations deadliest wildfire in at least a century continue to be shared, there is an outpouring of help. @WATELauraHalm talks to American Red Cross volunteers from East Tennessee whore already assisting with relief in California",rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,PREP(of)+POBJ(nations)|PREP(in)+POBJ(century)|ROOT_VERB:is|PREP(of)+POBJ(help)|PREP(to)+POBJ(volunteers),True,True
Our hearts go out to all who are involved in California fires in any capacity. No one wants their sky to look like this. #CaliforniaFires #CampFire #ParadiseLost #MalibuFire #ThousandOaksFire #Becareful,sympathy_and_support,PREP+PROPN,,ROOT_VERB:go|PREP(to)+POBJ(all)|PREP(in)+POBJ(fires)|NER_LOC:California|PREP(in)+POBJ(capacity),True,False
"Pewaukee Family, we are hosting a local supply drive for the victims of #HurricaneHarvey at Pewaukee High School, 510 Lake St, Pewaukee, WI.",other_relevant_information,PREP+PROPN,,ROOT_VERB:hosting|PREP(for)+POBJ(victims)|PREP(of)+POBJ(HurricaneHarvey)|NER_LOC:Lake|NER_LOC:St,True,False
I feel sooooo bad for the flood victims!!! These videos are sad as shit,other_relevant_information,,,ROOT_VERB:feel|PREP(for)+POBJ(victims),False,False
"Horrible, food and water hopefully are coming by the USA, not by Trumps abuse on foreign aid policy.Its Worldwide",not_humanitarian,,,ROOT_VERB:coming|PREP(by)+POBJ(USA)|NER_LOC:USA|PREP(by)+POBJ(abuse)|PREP(on)+POBJ(policy),False,False
RT @AlertNet: VIDEO: Widespread damage after deadly Ecuador earthquake,infrastructure_and_utility_damage,,,PREP(after)+POBJ(earthquake)|NER_LOC:Ecuador,False,False
A friend is getting deployed on Thurs to help Harvey victims. She wants to supply basics to those in need pls help!,rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,ROOT_VERB:deployed|PREP(on)+POBJ(Thurs)|ROOT_VERB:wants,True,True
The Latest: Irma damage reported on Georgias Tybee Island,infrastructure_and_utility_damage,,,PREP(on)+POBJ(Island)|NER_LOC:Georgias|NER_LOC:Tybee|NER_LOC:Island,False,False
"NAS Mayport has ordered evacuations starting at 8am Monday, in advance of #Hurricane #Dorian. #FLwx #jax",displaced_people_and_evacuations,PREP+PROPN,,ROOT_VERB:ordered|PREP(at)+POBJ(8)|PREP(in)+POBJ(advance)|PREP(of)+POBJ(Dorian),True,False
#HurricaneFlorence has caused mandatory evacuation along the U.S east coast.,displaced_people_and_evacuations,LOC_NOUN|PROPN+LOC_NOUN,,ROOT_VERB:caused|PREP(along)+POBJ(coast)|NER_LOC:U.S,True,False
"@NancyPelosi The people who were displaced by the Camp Fire are in a Walmart parking lot at Chico, California desparately need your help. they have been asked to leave. They have no where to go and California should be ashamed of the treatment they are not receiving.",displaced_people_and_evacuations,PREP+PROPN,ACTION_VERB,ROOT_VERB:@NancyPelosi|NER_LOC:the|NER_LOC:Camp|NER_LOC:Fire|PREP(at)+POBJ(Chico),True,True
"Fantastic work, @MarcoFabian_10! ὄF The @eintracht_eng player has been raising money for Mexicos earthquake victims ὤF἟2἟D",rescue_volunteering_or_donation_effort,,,ROOT_VERB:raising|PREP(for)+POBJ(victims)|NER_LOC:Mexicos,False,False
"Trump Approves Florida Emergency Declaration Ahead of Hurricane Dorian. The U.S. National Hurricane Center (NHC) on Aug. 30 said Dorian is a strong Category 2 storm with 110 mph winds, but it is expected to further strengthen to a Category 4",caution_and_advice,,DISTRESS_SIGNAL,ROOT_VERB:said|PREP(with)+POBJ(winds)|PREP(to)+POBJ(Category),False,True
"Exposure to mold during flood cleanup can cause respiratory illness, eye irritation &amp; skin rash. Stay safe:",caution_and_advice,,,PREP(to)+POBJ(mold)|PREP(during)+POBJ(cleanup)|ROOT_VERB:cause|ROOT_VERB:Stay,False,False
"RT @ksfynews: A convoy of trucks from North Dakota headed to Fullerton, Nebraska to help out with flood relief.",rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,PREP(of)+POBJ(trucks)|PREP(from)+POBJ(Dakota)|NER_LOC:North|NER_LOC:Dakota|PREP(to)+POBJ(Fullerton),True,True
RT @Critical_EG: To our clients and team members in Florida: CEGs thoughts and prayers are with you. Stay safe!!!,sympathy_and_support,PREP+PROPN,,PREP(in)+POBJ(Florida)|NER_LOC:Florida|ROOT_VERB:Stay,True,False
"You (people of Kerala) have shown the way to the rest of the country. ἞E἟3  ~ @RahulGandhi in his short media address after his visit to some of the 1600 relief camps sheltering 1 million people throughout the flood ravaged state of Kerala, India. #KeralaStrong #RebuildKerala",other_relevant_information,PREP+PROPN,,PREP(of)+POBJ(Kerala)|NER_LOC:Kerala|ROOT_VERB:shown|PREP(to)+POBJ(rest)|PREP(of)+POBJ(country),True,False
"IRMA: At damaged Gatorama, crocs now mingling with gators",infrastructure_and_utility_damage,PREP+PROPN,URGENCY_ADVERB,PREP(At)+POBJ(Gatorama)|PREP(with)+POBJ(gators),True,True
"684 nursing homes have a generator &amp; must have the generator onsite as a result of the state of emergency, and 3 facilities have emergency plans to evacuate if needed. #HurricaneDorian #FLPrepares @GovRonDeSantis @FLSERT",displaced_people_and_evacuations,,DISTRESS_SIGNAL|ACTION_VERB,ROOT_VERB:have|PREP(as)+POBJ(result)|PREP(of)+POBJ(state)|PREP(of)+POBJ(emergency),False,True
Our thoughts and prayers go out to all those affected by the #ItalyEarthquake. #PrayforItaly,sympathy_and_support,,,ROOT_VERB:go|PREP(to)+POBJ(those),False,False
"2 earthquakes in Japan, and now dozens dead in powerful Ecuador earthquake @CNN",injured_or_dead_people,PREP+PROPN,URGENCY_ADVERB,PREP(in)+POBJ(Japan)|NER_LOC:Japan|PREP(in)+POBJ(earthquake)|NER_LOC:Ecuador,True,True
ἰ0 Louisiana #CajunNavy. #HurricaneFlorence Water rescues if conditions allow. Toll free number is 888-372-2586. Zello Channel is LCN Emergency Response 2018.,rescue_volunteering_or_donation_effort,,DISTRESS_SIGNAL,,False,True
I hope and pray tht everyone is safe ᾓ2ᾗA I hope tht no lives are lost ὡ3 #earthquake,sympathy_and_support,,,ROOT_VERB:hope|ROOT_VERB:hope|ROOT_VERB:lost,False,False
RT @cruzrojaecuador: #Earthquake #Ecuador Our volunteers are helping affected people. We give first aid and psychosocial support .,rescue_volunteering_or_donation_effort,,,ROOT_VERB:affected|ROOT_VERB:give,False,False
".@NBCNews Meteorologist Bill Karins: Hurricane Florence weakens to a Category 2 storm, but it could still bring huge flooding to coastal areas.",caution_and_advice,,,NER_LOC:Hurricane|NER_LOC:Florence|ROOT_VERB:weakens|PREP(to)+POBJ(storm)|PREP(to)+POBJ(areas),False,False
"Donnie, STFUThats not what you said about California a few days ago. You took the side of the fire against the victims of this disaster. You blame us for not raking our dry leaves. Is Ivanka going to do a deal with China to get us rakes?",not_humanitarian,,,PREP(about)+POBJ(California)|NER_LOC:California|ROOT_VERB:took|PREP(of)+POBJ(fire)|PREP(against)+POBJ(victims),False,False
"OOC: My longtime friend @COHAlexSurfire resides in Florida, the target of #HurricaneIrma. Stay safe man. Youre in our thoughts.",sympathy_and_support,PREP+PROPN,,PREP(in)+POBJ(Florida)|NER_LOC:Florida|PREP(of)+POBJ(HurricaneIrma)|ROOT_VERB:Stay|ROOT_VERB:re,True,False
Unbelievable scenes from #Bahamas and the impact of #Dorian. So much destruction. Mother Nature is relentless #Weather #hurricane #Abaco,infrastructure_and_utility_damage,,,PREP(from)+POBJ(Bahamas)|PREP(of)+POBJ(Dorian)|NER_LOC:Abaco,False,False
"@kawalpreetdu @shahid_siddiqui @t_d_h_nair @PrabhuChawla #Kerala #KeralaFloods #KeralaFloodRelief official statement of UAE government on aid ὤ4where 700 cr 100 million ᾑ4ᾑ4ὄEὄ7ὔCὔB they will provide it to Hajis, when will you saw #Mecca received your share ὠFὠF @sagenaradamuni @ManojKureel",rescue_volunteering_or_donation_effort,,,ROOT_VERB:@PrabhuChawla|PREP(of)+POBJ(government)|PREP(on)+POBJ(aid)|PREP(to)+POBJ(Hajis),False,False
